Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Size,Founded,Type of ownership,Industry,Sector,Revenue
Data Scientist,Employer Provided Salary:$55 - $60 Per Hour,"Job Description:
Python
Machine learning
Neural networks
Data visualization
Data wrangling
· (clustering, decision tree learning, artificial neural networks, Deep Learning etc.) and their real-world advantages/drawbacks.
· Knowledge of advanced statistical techniques and concepts (regression, properties of distributions, statistical tests and proper usage, etc.) and experience with applications.",-1,Amaze Systems Inc,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$70 - $80 Per Hour,"We are looking for a Data Scientist to analyze large amounts of raw information to find patterns that will help improve our company. We will rely on you to build data products to extract valuable business insights. In this role, you should be highly analytical with a knack for analysis, math and statistics. Critical thinking and problem-solving skills are essential for interpreting data. We want to see a passion for machine-learning and research. Your goal will be to help our company analyze trends to make better decisions.
Responsibilities
Identify valuable data sources and automate collection processes
Undertake preprocessing of structured and unstructured data
Analyze large amounts of information to discover trends and patterns",-1,Radcube LLC,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$70 - $80 Per Hour,"Python, R (programming language)
Expect to do some standard coding, but not production coding.
MUST be able to write program scripts in Python and R
Note: Coding language in Excel is NOT acceptable
Project Description: This project will use statistics and A/B testing to assist with data-driven decision-making for products in the Mid-Market area. The SMB Mid-Market team is looking for people that have data science backgrounds and degrees in math or statistics to support this to make product and process improvement decisions that reduce churn and improve user experience.",4.3,"Apisero
4.3",Remote,-1,-1,-1,-1,-1,-1
Data Scientist - Intermediate,-1,"What You Will Do:
Design and prototype models based on statistical modeling, machine learning, and data mining in order to solve challenging analytics problems ranging from exploratory to highly applied
Manipulate, transform, and analyze abstract data structures
Select and apply the most appropriate modeling techniques and data visualization for big data analysis
Develop code to implement analysis workflows in a robust and reproducible fashion
Assist with high-level analysis, design, and code reviews
Basic Qualifications:
Master in Statistics, Data Science, Math, Computer Science, Computational Statistics or other related quantitative discipline",5.0,"Envision
5.0",Remote,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$139K - $276K,"We are currently seeking a Senior Data Scientist for a full time, permanent position (remote).
The Data Science team builds machine learning models that recommend best-match candidates for jobs. The team’s mission is to build the world’s best AI matchmaker that can connect all jobs with the right jobseekers.
Responsibilities
Build highly scalable and performant recommendation systems and technologies that can identify best matches between millions of jobs and millions of job seekers in real-time
Experiment with POC ML model improvements, scale them to production, and run iterative AB experiments to improve our matching technology",4.6,"Comcentric
4.6","Salem, OR",-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$40 - $50 Per Hour,"Urgent!!
Job Description
Job Title: Data Scientist
Location: Bellevue & Los Angeles
Visa : GC & US Citizen
Skills:
SQL
Python/R",-1,INNOVATIVE BI SOLUTIONS INC,Remote,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$30 - $35 Per Hour,"Hi,
We have immediate requirement on DATA SCIENTIST.
Job Title: #Datascientist
Location: #Remote
Contract Type: Only W2( NO C2C)
Duration: 12+ Months.
VISA'S: H4-EAD, GC, GC-EAD and L2-EAD.
Interested candidates can directly reach me at (469) 707-4373.",4.2,"WorkCog
4.2",Remote,-1,-1,-1,-1,-1,-1
Data Annotator,Employer Provided Salary:$42K - $44K,"Weir Motion Metrics is a Canadian mining technology division that enables a new generation of safe, smart, and sustainable mining. Based in Vancouver, B.C., the company joined forces with Weir, one of the world’s leading engineering businesses, to empower mines by developing and deploying advanced monitoring solutions that address the industry’s toughest challenges.
We are looking for a Data Annotator in our AI Research Department - Image Labelling Team.
Responsibilities
Communicate effectively with team leads to acquire and understand the requirements for data
annotation
Use software applications and good visual judgment to select frames from videos, and highlight",-1,Weir Motion Metrics,Remote,-1,-1,-1,-1,-1,-1
"Data Scientist, QuBIT",Employer Provided Salary:$119K - $160K,"M.S. or equivalent in Statistics, Mathematics, Operations Research, Engineering, Computer Science, or related analytical disciplines.
Deep understanding of regression modeling, forecasting techniques, time series analysis, machine-learning concepts such as supervised/unsupervised learning, in-depth knowledge of tree-based ensemble models, etc.
Excellent in using statistical, visualization, and machine-learning tools and commercial packages
Proficiency in using SQL as applied to big data: extraction, processing, filtering, and presenting large data quantities (100K to Millions of rows) via AWS technologies and data pipelines
Excellent one or more scripting languages (e.g., Python, R, Java, C++, etc.)
Ability to communicate technical concepts and solutions at a level appropriate for technical and non-technical audiences.
Job summary
Amazon's Quantitative Business Intelligence Tools (QuBIT) team is looking for motivated individuals with strong analytical and science skills to evolve one of the most complex supply-chain systems in the world.

Amazon’s supply-chain comprises thousands of fixed infrastructure nodes with millions of possible connections between them. Billions of packages flow through this network on a yearly basis, making the impact of optimal improvements truly innovative. This job offers is a terrific opportunity to analyze Amazon data and understand, model, optimize, and reshape one of the world's most supply-chains.

Your main focus will be on developing predictive models for critical planning entities; analyzing large amount of data to identify and evaluate opportunities to improve customer experience, network speed, cost and efficiency; and presenting the results to non-technical audience with the aid of visualization tools. You will leverage optimization approaches to evaluate trade-offs between potentially competing business objectives and improve decision-making. You will identify effective metrics to quantify the improvements resulting from the application of your developed tools.

The ideal candidate will demonstrate deep understanding of statistical and machine learning concepts, technical skills for leveraging analytical tools to solve large scale problems, aptitude to remain abreast with data science related technologies and excitement to take iterative approaches to tackle long-term challenges. The successful candidate will have good communication skills and ability to speak at a level appropriate for the audience; will collaborate effectively with fellow scientists, data/software engineers, and product/program managers; and will deliver business value in a close partnership with many stakeholders from operations, finance and software-engineering.

Key job responsibilities
In this role, you'll be expected to work on well defined business problems related to Amazon Fulfillment Center Operations (labor planning, capacity planning, etc) and use the appropriate data science techniques to design and implement a workable solution for them. You'll also work alongside the product/program managers to define the success criteria for the solution and set up the appropriate tracking/reporting mechanisms.

About the team
The science team within QuBIT comprises 6 data scientists coming from a diverse background! Our mission is to continuously evolve our operations by developing robust and well-researched science solutions. Outside of constantly adding business value through those solutions, our team keeps abreast of evolving science field by learning new concepts and algorithms dedicatedly every week, and we share the knowledge across team members through monthly learning sessions!

The base pay range for this position in Colorado is $ 119,300 - $160,000 a year; however, base pay offered may vary depending on job-related knowledge, skills, and experience. A sign-on bonus and restricted stock units may be provided as part of the compensation package, in addition to a full range of medical, financial, and/or other benefits, dependent on the position offered. This information is provided per the Colorado Equal Pay Act. Base pay information is based on market location. Applicants should apply via Amazon’s internal or external careers site.

Amazon is committed to a diverse and inclusive workplace. Amazon is an equal opportunity employer and does not discriminate on the basis of race, national origin, gender, gender identity, sexual orientation, protected veteran status, disability, age, or other legally protected status. For individuals with disabilities who would like to request an accommodation, please visit https://www.amazon.jobs/en/disability/us.",3.8,"Amazon.com Services LLC
3.8",Remote,-1,-1,-1,-1,-1,-1
Data Scientist,Employer Provided Salary:$75 - $95 Per Hour,"This is a new role within the R&D organization. The Data Scientist will be
responsible for working with the company stakeholders to analyze the existing data that is being collected, build out a roadmap of potential ideas where could utilize the data, and develop an overall data mining strategy. They must have strong experience using a variety of data mining/data analysis methods, using a variety of data tools, building and implementing models, using/creating algorithms and creating/running simulations. Currently data is in an unstructured format and it will be up to the Data Scientist to determine the best way forward in utilizing the data.
Responsibilities
Work with stakeholders throughout the organization to identify opportunities for
leveraging company data to drive business solutions.",-1,Highland Principals,Remote,-1,-1,-1,-1,-1,-1
Data Scientist/Analyst,Employer Provided Salary:$55 - $60 Per Hour,"Position: Data Scientist - Alteryx Exp Mandatory
Location: Dearborn, MI
Duration: Long Term Contract
Position Type: W2 & 1099 & C2C
Must Have: Alteryx Experience
Job Description
You will be responsible for providing the data and analytics support for enterprise data integration tasks, including ingestion, standardization, enrichment, mastering and assembly of data products for downstream applications.",-1,Wintegrity,Remote,-1,-1,-1,-1,-1,-1
Data Scientist (Remote option),Employer Provided Salary:$130K - $160K,"Highly-prominent and prestigious global co. is looking to hire an energetic Staff Data Scientist with Supply Chain background.
This position can be based anywhere in the US.
In this role, you will be a pivotal member of a highly-regarded team and you will ...
Perform Analytical Modeling, including optimization, simulation
Perform Data Visualtization
Create and Deliver Presentations, Formal and Informal at multiple levels within the org, including senior leadership
Partner with Data Management and Data Engineering teams on key initiatives large and small",-1,ProAces,Remote,-1,-1,-1,-1,-1,-1
Senior Data Scientist - International,Employer Provided Salary:$123K - $179K,"Your Job
As a Senior Data Scientist embedded in the International Team team, you will be tasked with building machine learning solutions to help improve the efficiency of software delivery at Indeed. You will work on interesting and important challenges that range from designing algorithms for quicker regression testing to building tools that can automate root cause analysis. Through your work, Indeed software developers will be able to quickly get their solutions into production, find and fix bugs, and improve the quality of their code.

The International Team works to make all of Indeed’s products effective at getting people hired, in every market and language. This involves translating the needs of specific markets into configuration patterns that let us scale those variations worldwide. We consider both sides of the experience, meaning that we internationalize employer-facing products (such as posting jobs and managing candidates) and jobseeker-facing products (such as mobile job search, updating profiles, and messaging-app based experiences). Most importantly, the team is expected to deliver results, and be able to demonstrate the impact our changes have on our business.






We are a rapidly growing and highly-capable Engineering organization building the most popular job site on the planet. With engineering hubs in Seattle, San Francisco, Austin, Tokyo, Singapore, Hyderabad, Dublin, Aberdeen and Vancouver, we are improving people's lives all around the world, one job search at a time.",4.4,"Indeed
4.4",Remote,-1,-1,-1,-1,-1,-1
Data Scientist,-1,"Farm Journal, the largest business information company serving U.S. agriculture, is seeking a Data Scientist to partner with our business and internal teams to aid them in data strategy.
What this person will do:
Design, develop, implement, support, and present dashboards, reports, and visualizations in Tableau to help clients maximize the value of their data
Deliver insightful visual solutions to complex problems for clients using creative ideas that support big data and analytical consumers
Organize and clean unstructured data to present through Tableau and alter data models as business requirement change
Communicate project output in terms of customer value, business objectives and product opportunity",3.2,"Farm Journal
3.2",Remote,-1,-1,-1,-1,-1,-1
Data Analyst/Data Scientist,Employer Provided Salary:$60 - $65 Per Hour,"Role: ESG Data Analyst/ Data Scientist
Locate: Remote
· Minimum 2 years in relevant experience
· Advanced degree in Engineering, Mathematics, Physics, Climate Science, Sustainability, Economics, or Finance from a reputable academic institution.
· Knowledge of TCFD, CDP, and ESG reporting.
· Familiarity with climate risk modelling tools.
· Familiarity with one or more programming languages e.g., R, SAS, Python, Jupyter Notebook, Matplotlib, Pandas, GitLab, CoreNLP and spaCy.",4.8,"CognoticAI
4.8",Remote,-1,-1,-1,-1,-1,-1
Data Scientist - 100% Remote,Employer Provided Salary:$150K - $175K,"We have an immediate need for an experienced Data Scientist. This permanent position is 100% remote and offers competitive compensation (that will depend on level of experience) as well as an excellent benefits package.
Target Skills and Experience:
5+ years of Data Analytics experience while working as a Data Scientist.
Strong ability to analyze large amounts of data to discover trends and patterns and build predictive models and machine-learning algorithms to support decision making and quality improvement.
Strong ability to evaluate predictive models, including those developed by vendors or other data scientists, and produce actionable insights, strategies, and recommendations to business challenges.",-1,BlueSky Technology Solutions,Remote,-1,-1,-1,-1,-1,-1
Data scientist,Employer Provided Salary:$50 - $60 Per Hour,"Data Scientist
Primary Skills:
5-8 years of experience with data science and analytical services.
Domain: Experience in Oil and Gas domain or Manufacturing domain.
Exposure to software product development and experience with real time data acquisition system.
Expertise in predictive modeling, machine learning, and statistics.
Well-versed in machine learning algorithms and their suitability for solving various problems: Regression, Bayesian, Support Vector Machines, Decision Trees, Random Forest, Clustering, Neural Networks.",4.0,"Blutium
4.0",Remote,-1,-1,-1,-1,-1,-1
